"County","Count","Population","Age Adjusted Rate per 10,000","Lower CI","Upper CI"
"State Total","2193","7349908","3.08","2.95","3.21"
"Adams","10","22049","4.15 (NR)","1.92 (NR)","8.15 (NR)"
"Asotin","**","22097","**","**","**"
"Benton","60","193723","2.94","2.23","3.82"
"Chelan","12","76594","1.74 (NR)","0.88 (NR)","3.13 (NR)"
"Clallam","10","75387","1.84 (NR)","0.86 (NR)","3.48 (NR)"
"Clark","102","474253","2.07 (NR)","1.68 (NR)","2.53 (NR)"
"Columbia","**","3776","**","**","**"
"Cowlitz","30","109035","3.04 (NR)","2.03 (NR)","4.4 (NR)"
"Douglas","**","39646","**","**","**"
"Ferry","**","6082","**","**","**"
"Franklin","18","89674","2.02","1.16","3.43"
"Garfield","**","2244","**","**","**"
"Grant","27","94007","2.64","1.73","3.92"
"Grays Harbor","33","76212","4.81","3.27","6.87"
"Island","14","83817","1.72 (NR)","0.89 (NR)","3.1 (NR)"
"Jefferson","10","30634","4.21 (NR)","1.81 (NR)","8.7 (NR)"
"King","733","2172840","3.7","3.43","3.98"
"Kitsap","48","266632","1.97","1.44","2.64"
"Kittitas","**","43518","**","**","**"
"Klickitat","**","22159","**","**","**"
"Lewis","25","79880","2.95","1.86","4.53"
"Lincoln","**","11031","**","**","**"
"Mason","15","61610","2.89 (NR)","1.58 (NR)","4.9 (NR)"
"Okanogan","**","42453","**","**","**"
"Pacific","**","21863","**","**","**"
"Pend Oreille","**","12327","**","**","**"
"Pierce","292","865128","3.37","2.99","3.79"
"San Juan","**","16690","**","**","**"
"Skagit","35","125120","2.84","1.95","4.04"
"Skamania","**","7775","**","**","**"
"Snohomish","298","785254","3.89","3.46","4.37"
"Spokane","151","509503","3.12","2.63","3.68"
"Stevens","15","48233","3.95 (NR)","2.15 (NR)","6.73 (NR)"
"Thurston","57","278411","2.09","1.58","2.73"
"Wahkiakum","0","3974","0 (NR)","0 (NR)","0 (NR)"
"Walla Walla","10","61526","1.84 (NR)","0.86 (NR)","3.52 (NR)"
"Whatcom","42","214019","2.16","1.54","2.95"
"Whitman","**","47033","**","**","**"
"Yakima","93","253699","3.52","2.84","4.35"


"Asthma Hospitalizations:  Age-Adjusted Rate per 10,000"
"Geography: County, Age Group: All (Combined), Time Period: 2017"
"Created: 6/16/2026"

"""**"" indicates data suppression to protect confidentiality."

"""--"" indicates no data collected."

"""NR"" indicates data are not reliable."
