"County","# of Fires","Acres Burned","Percent Area Burned"
"State Total","69","406497","0.94"
"Adams","1","1851","0.15"
"Asotin","1","472","0.12"
"Benton","9","16475","1.46"
"Chelan","11","43966","2.29"
"Clallam","0","0","0"
"Clark","0","0","0"
"Columbia","0","0","0"
"Cowlitz","0","0","0"
"Douglas","7","75939","6.42"
"Ferry","3","7782","0.54"
"Franklin","2","2079","0.26"
"Garfield","0","0","0"
"Grant","7","48070","2.69"
"Grays Harbor","0","0","0"
"Island","0","0","0"
"Jefferson","0","0","0"
"King","0","0","0"
"Kitsap","0","0","0"
"Kittitas","5","79474","5.32"
"Klickitat","2","10427","0.86"
"Lewis","1","74","0"
"Lincoln","1","5050","0.34"
"Mason","1","2154","0.32"
"Okanogan","7","75053","2.2"
"Pacific","0","0","0"
"Pend Oreille","0","0","0"
"Pierce","1","424","0.04"
"San Juan","0","0","0"
"Skagit","0","0","0"
"Skamania","0","0","0"
"Snohomish","0","0","0"
"Spokane","1","98","0.01"
"Stevens","4","5448","0.33"
"Thurston","0","0","0"
"Wahkiakum","0","0","0"
"Walla Walla","0","0","0"
"Whatcom","4","1045","0.07"
"Whitman","1","1388","0.1"
"Yakima","7","29227","1.06"


"Wildfires"
"Geography: County, Year: 2018"
"Created: 6/16/2026"

"""**"" indicates data suppression to protect confidentiality."

"""--"" indicates no data collected."

"""NR"" indicates data are not reliable."
